,price,area,bedrooms
0,13300000,7420,4
1,12250000,8960,4
2,12250000,9960,3
3,12215000,7500,4
4,11410000,7420,4
5,10850000,7500,3
6,10150000,8580,4
7,10150000,16200,5
8,9870000,8100,4
9,9800000,5750,3
10,9800000,13200,3
11,9681000,6000,4
12,9310000,6550,4
13,9240000,3500,4
14,9240000,7800,3
15,9100000,6000,4
16,9100000,6600,4
17,8960000,8500,3
18,8890000,4600,3
19,8855000,6420,3
20,8750000,4320,3
21,8680000,7155,3
22,8645000,8050,3
23,8645000,4560,3
24,8575000,8800,3
25,8540000,6540,4
26,8463000,6000,3
27,8400000,8875,3
28,8400000,7950,5
29,8400000,5500,4
30,8400000,7475,3
31,8400000,7000,3
32,8295000,4880,4
33,8190000,5960,3
34,8120000,6840,5
35,8080940,7000,3
36,8043000,7482,3
37,7980000,9000,4
38,7962500,6000,3
39,7910000,6000,4
40,7875000,6550,3
41,7840000,6360,3
42,7700000,6480,3
43,7700000,6000,4
44,7560000,6000,4
45,7560000,6000,3
46,7525000,6000,3
47,7490000,6600,3
48,7455000,4300,3
49,7420000,7440,3
51,7420000,6325,3
52,7350000,6000,4
53,7350000,5150,3
54,7350000,6000,3
56,7343000,11440,4
57,7245000,9000,4
58,7210000,7680,4
59,7210000,6000,3
60,7140000,6000,3
61,7070000,8880,2
62,7070000,6240,4
63,7035000,6360,4
64,7000000,11175,3
65,6930000,8880,3
66,6930000,13200,2
67,6895000,7700,3
68,6860000,6000,3
69,6790000,12090,4
70,6790000,4000,3
71,6755000,6000,4
72,6720000,5020,3
73,6685000,6600,2
74,6650000,4040,3
75,6650000,4260,4
76,6650000,6420,3
77,6650000,6500,3
78,6650000,5700,3
79,6650000,6000,3
80,6629000,6000,3
81,6615000,4000,3
82,6615000,10500,3
83,6580000,6000,3
84,6510000,3760,3
85,6510000,8250,3
86,6510000,6670,3
87,6475000,3960,3
88,6475000,7410,3
89,6440000,8580,5
90,6440000,5000,3
91,6419000,6750,2
92,6405000,4800,3
93,6300000,7200,3
94,6300000,6000,4
95,6300000,4100,3
96,6300000,9000,3
97,6300000,6400,3
98,6293000,6600,3
99,6265000,6000,4
100,6230000,6600,3
101,6230000,5500,3
102,6195000,5500,3
103,6195000,6350,3
105,6160000,4500,3
106,6160000,5450,4
107,6125000,6420,3
108,6107500,3240,4
109,6090000,6615,4
110,6090000,6600,3
111,6090000,8372,3
112,6083000,4300,6
113,6083000,9620,3
114,6020000,6800,2
115,6020000,8000,3
116,6020000,6900,3
117,5950000,3700,4
118,5950000,6420,3
119,5950000,7020,3
120,5950000,6540,3
121,5950000,7231,3
122,5950000,6254,4
123,5950000,7320,4
124,5950000,6525,3
125,5943000,15600,3
126,5880000,7160,3
127,5880000,6500,3
128,5873000,5500,3
129,5873000,11460,3
130,5866000,4800,3
131,5810000,5828,4
132,5810000,5200,3
133,5810000,4800,3
134,5803000,7000,3
135,5775000,6000,3
136,5740000,5400,4
137,5740000,4640,4
138,5740000,5000,3
139,5740000,6360,3
140,5740000,5800,3
141,5652500,6660,4
142,5600000,10500,4
143,5600000,4800,5
144,5600000,4700,4
145,5600000,5000,3
146,5600000,10500,2
147,5600000,5500,3
148,5600000,6360,3
149,5600000,6600,4
150,5600000,5136,3
151,5565000,4400,4
152,5565000,5400,5
153,5530000,3300,3
154,5530000,3650,3
155,5530000,6100,3
156,5523000,6900,3
157,5495000,2817,4
158,5495000,7980,3
159,5460000,3150,3
160,5460000,6210,4
161,5460000,6100,3
162,5460000,6600,4
163,5425000,6825,3
164,5390000,6710,3
165,5383000,6450,3
166,5320000,7800,3
167,5285000,4600,2
168,5250000,4260,4
169,5250000,6540,4
170,5250000,5500,3
171,5250000,10269,3
172,5250000,8400,3
173,5250000,5300,4
174,5250000,3800,3
175,5250000,9800,4
176,5250000,8520,3
177,5243000,6050,3
178,5229000,7085,3
179,5215000,3180,3
180,5215000,4500,4
181,5215000,7200,3
182,5145000,3410,3
183,5145000,7980,3
184,5110000,3000,3
186,5110000,11410,2
187,5110000,6100,3
188,5075000,5720,2
189,5040000,3540,2
190,5040000,7600,4
191,5040000,10700,3
192,5040000,6600,3
193,5033000,4800,2
194,5005000,8150,3
195,4970000,4410,4
196,4970000,7686,3
197,4956000,2800,3
198,4935000,5948,3
199,4907000,4200,3
200,4900000,4520,3
201,4900000,4095,3
202,4900000,4120,2
203,4900000,5400,4
204,4900000,4770,3
205,4900000,6300,3
206,4900000,5800,2
207,4900000,3000,3
208,4900000,2970,3
209,4900000,6720,3
210,4900000,4646,3
211,4900000,12900,3
212,4893000,3420,4
213,4893000,4995,4
214,4865000,4350,2
215,4830000,4160,3
216,4830000,6040,3
217,4830000,6862,3
218,4830000,4815,2
219,4795000,7000,3
220,4795000,8100,4
221,4767000,3420,4
222,4760000,9166,2
223,4760000,6321,3
224,4760000,10240,2
225,4753000,6440,2
226,4690000,5170,3
227,4690000,6000,2
228,4690000,3630,3
229,4690000,9667,4
230,4690000,5400,2
231,4690000,4320,3
232,4655000,3745,3
233,4620000,4160,3
234,4620000,3880,3
235,4620000,5680,3
236,4620000,2870,2
237,4620000,5010,3
238,4613000,4510,4
239,4585000,4000,3
240,4585000,3840,3
241,4550000,3760,3
242,4550000,3640,3
243,4550000,2550,3
244,4550000,5320,3
245,4550000,5360,3
246,4550000,3520,3
247,4550000,8400,4
248,4543000,4100,2
249,4543000,4990,4
250,4515000,3510,3
251,4515000,3450,3
252,4515000,9860,3
253,4515000,3520,2
254,4480000,4510,4
255,4480000,5885,2
256,4480000,4000,3
257,4480000,8250,3
258,4480000,4040,3
259,4473000,6360,2
260,4473000,3162,3
261,4473000,3510,3
262,4445000,3750,2
263,4410000,3968,3
264,4410000,4900,2
265,4403000,2880,3
266,4403000,4880,3
267,4403000,4920,3
268,4382000,4950,4
269,4375000,3900,3
270,4340000,4500,3
271,4340000,1905,5
272,4340000,4075,3
273,4340000,3500,4
274,4340000,6450,4
275,4319000,4032,2
276,4305000,4400,2
277,4305000,10360,2
278,4277000,3400,3
279,4270000,6360,2
281,4270000,4500,2
282,4270000,2175,3
283,4270000,4360,4
284,4270000,7770,2
285,4235000,6650,3
286,4235000,2787,3
287,4200000,5500,3
288,4200000,5040,3
289,4200000,5850,2
290,4200000,2610,4
291,4200000,2953,3
292,4200000,2747,4
293,4200000,4410,2
294,4200000,4000,4
295,4200000,2325,3
296,4200000,4600,3
297,4200000,3640,3
298,4200000,5800,3
299,4200000,7000,3
300,4200000,4079,3
301,4200000,3520,3
302,4200000,2145,3
303,4200000,4500,3
304,4193000,8250,3
305,4193000,3450,3
306,4165000,4840,3
307,4165000,4080,3
308,4165000,4046,3
309,4130000,4632,4
310,4130000,5985,3
311,4123000,6060,2
312,4098500,3600,3
313,4095000,3680,3
314,4095000,4040,2
315,4095000,5600,2
316,4060000,5900,4
317,4060000,4992,3
318,4060000,4340,3
319,4060000,3000,4
320,4060000,4320,3
321,4025000,3630,3
322,4025000,3460,3
323,4025000,5400,3
324,4007500,4500,3
325,4007500,3460,4
326,3990000,4100,4
327,3990000,6480,3
328,3990000,4500,3
329,3990000,3960,3
330,3990000,4050,2
331,3920000,7260,3
332,3920000,5500,4
333,3920000,3000,3
334,3920000,3290,2
335,3920000,3816,2
336,3920000,8080,3
337,3920000,2145,4
338,3885000,3780,2
339,3885000,3180,4
340,3850000,5300,5
341,3850000,3180,2
342,3850000,7152,3
343,3850000,4080,2
344,3850000,3850,2
345,3850000,2015,3
346,3850000,2176,2
347,3836000,3350,3
348,3815000,3150,2
349,3780000,4820,3
350,3780000,3420,2
351,3780000,3600,2
352,3780000,5830,2
353,3780000,2856,3
354,3780000,8400,2
355,3773000,8250,3
356,3773000,2520,5
357,3773000,6930,4
358,3745000,3480,2
359,3710000,3600,3
360,3710000,4040,2
361,3710000,6020,3
362,3710000,4050,2
363,3710000,3584,2
364,3703000,3120,3
365,3703000,5450,2
366,3675000,3630,2
368,3675000,5640,2
369,3675000,3600,2
370,3640000,4280,2
371,3640000,3570,3
372,3640000,3180,3
373,3640000,3000,2
374,3640000,3520,2
375,3640000,5960,3
376,3640000,4130,3
377,3640000,2850,3
378,3640000,2275,3
379,3633000,3520,3
380,3605000,4500,2
381,3605000,4000,2
382,3570000,3150,3
383,3570000,4500,4
384,3570000,4500,2
385,3570000,3640,2
386,3535000,3850,3
387,3500000,4240,3
388,3500000,3650,3
389,3500000,4600,4
390,3500000,2135,3
391,3500000,3036,3
392,3500000,3990,3
393,3500000,7424,3
394,3500000,3480,3
395,3500000,3600,6
396,3500000,3640,2
397,3500000,5900,2
398,3500000,3120,3
399,3500000,7350,2
400,3500000,3512,2
401,3500000,9500,3
402,3500000,5880,2
403,3500000,12944,3
404,3493000,4900,3
405,3465000,3060,3
406,3465000,5320,2
407,3465000,2145,3
408,3430000,4000,2
409,3430000,3185,2
410,3430000,3850,3
411,3430000,2145,3
412,3430000,2610,3
413,3430000,1950,3
414,3423000,4040,2
415,3395000,4785,3
416,3395000,3450,3
417,3395000,3640,2
418,3360000,3500,4
419,3360000,4960,4
420,3360000,4120,2
421,3360000,4750,2
422,3360000,3720,2
423,3360000,3750,3
424,3360000,3100,3
425,3360000,3185,2
426,3353000,2700,3
427,3332000,2145,3
428,3325000,4040,2
429,3325000,4775,4
430,3290000,2500,2
431,3290000,3180,4
432,3290000,6060,3
433,3290000,3480,4
434,3290000,3792,4
435,3290000,4040,2
436,3290000,2145,3
437,3290000,5880,3
438,3255000,4500,2
439,3255000,3930,2
440,3234000,3640,4
441,3220000,4370,3
442,3220000,2684,2
443,3220000,4320,3
444,3220000,3120,3
445,3150000,3450,1
446,3150000,3986,2
447,3150000,3500,2
448,3150000,4095,2
449,3150000,1650,3
450,3150000,3450,3
451,3150000,6750,2
452,3150000,9000,3
453,3150000,3069,2
454,3143000,4500,3
455,3129000,5495,3
456,3118850,2398,3
457,3115000,3000,3
458,3115000,3850,3
459,3115000,3500,2
460,3087000,8100,2
461,3080000,4960,2
462,3080000,2160,3
463,3080000,3090,2
464,3080000,4500,2
465,3045000,3800,2
466,3010000,3090,3
467,3010000,3240,3
468,3010000,2835,2
469,3010000,4600,2
470,3010000,5076,3
471,3010000,3750,3
472,3010000,3630,4
473,3003000,8050,2
474,2975000,4352,4
475,2961000,3000,2
476,2940000,5850,3
477,2940000,4960,2
478,2940000,3600,3
479,2940000,3660,4
480,2940000,3480,3
481,2940000,2700,2
482,2940000,3150,3
483,2940000,6615,3
484,2870000,3040,2
485,2870000,3630,2
486,2870000,6000,2
487,2870000,5400,4
488,2852500,5200,4
489,2835000,3300,3
490,2835000,4350,3
491,2835000,2640,2
492,2800000,2650,3
493,2800000,3960,3
494,2730000,6800,2
495,2730000,4000,3
496,2695000,4000,2
497,2660000,3934,2
498,2660000,2000,2
499,2660000,3630,3
500,2660000,2800,3
501,2660000,2430,3
502,2660000,3480,2
503,2660000,4000,3
504,2653000,3185,2
505,2653000,4000,3
506,2604000,2910,2
507,2590000,3600,2
508,2590000,4400,2
510,2520000,2880,3
511,2520000,3180,3
512,2520000,3000,2
513,2485000,4400,3
514,2485000,3000,3
515,2450000,3210,3
516,2450000,3240,2
517,2450000,3000,2
518,2450000,3500,2
519,2450000,4840,2
520,2450000,7700,2
521,2408000,3635,2
522,2380000,2475,3
523,2380000,2787,4
524,2380000,3264,2
525,2345000,3640,2
526,2310000,3180,2
527,2275000,1836,2
528,2275000,3970,1
529,2275000,3970,3
530,2240000,1950,3
531,2233000,5300,3
532,2135000,3000,2
533,2100000,2400,3
534,2100000,3000,4
535,2100000,3360,2
536,1960000,3420,5
537,1890000,1700,3
538,1890000,3649,2
539,1855000,2990,2
540,1820000,3000,2
541,1767150,2400,3
542,1750000,3620,2
543,1750000,2910,3
544,1750000,3850,3
